"id_paciente";"nome";"nif";"telefone";"email";"data_consulta";"especialidade"
"88";"Luis Santos";"315715800";"923456789";"luis.santos@mail.com";"2026-11-01";"Fisioterapia"
"89";"Monica Dias";"315916000";"934567890";"monica.dias@mail.com";"2026-11-05";"Dermatologia"
"90";"Nuno Ferreira";"316116200";"965678901";"nuno.ferreira@mail.com";"2026-11-10";"Gastroenterologia"
"91";"Olga Pereira";"316316400";"926789012";"olga.pereira@mail.com";"2026-11-15";"Ortopedia"
"92";"Pedro Costa";"316516600";"937890123";"pedro.costa@mail.com";"2026-11-20";"Oftalmologia"
"93";"Rita Lopes";"316716800";"968901234";"rita.lopes@mail.com";"2026-11-25";"Neurologia"
"94";"Tiago Sousa";"316917000";"929012345";"tiago.sousa@mail.com";"2026-12-01";"Pediatria"
"95";"Sofia Alves";"317117200";"930123456";"sofia.alves@mail.com";"2026-12-05";"Cardiologia"
"96";"Ricardo Martins";"317317400";"961234567";"ricardo.martins@mail.com";"2026-12-10";"Ginecologia"
"97";"Paula Vieira";"317517600";"922345678";"paula.vieira@mail.com";"2026-12-15";"Otorrino"
"98";"Manuel Correia";"317717800";"933456789";"manuel.correia@mail.com";"2026-12-20";"Fisioterapia"
"99";"Luisa Abreu";"317918000";"964567890";"luisa.abreu@mail.com";"2026-12-25";"Dermatologia"
"100";"Ines Sousa";"318118200";"925678901";"ines.sousa@mail.com";"2027-01-01";"Gastroenterologia"
